id,name,lat,long
1,15th of May City,29.83204179975502,31.364767900000004
2,6th of October,29.97234579974222,30.940920500000004
3,Aachen,50.776350999289846,6.083861999999999
4,Aalborg,57.04626260028152,9.921526299999998
5,Aarhus,56.14962779985288,10.213404599999999
6,Aasiaat,68.70958799726546,-52.851297599999995
7,Aba,5.112734999498755,7.364349000000001
8,Abadan,30.363609699708555,48.2591475
9,Abaetetuba,-1.7218279998396733,-48.878842999999996
10,Abag Banner,44.01862020053203,114.97224729999999
11,Abakaliki,6.320889699429577,8.1133202
12,Abakan,53.69402948231236,91.43907551242242
13,Abakan,53.72064969914415,91.4403553
14,Abancay,-13.637348200271015,-72.87887439999999
15,Abashiri,44.02060270053196,144.2732035
16,Abbotsford,49.052116199679446,-122.329479
17,Abbottabad,34.14365889960668,73.2139122
18,Abdi,12.808157199659167,21.3044437
19,Abéché,13.828029499770437,20.828365200000004
20,Abengourou,6.726904199413705,-3.4968430999999995
21,Aberdeen,45.46498050041722,-98.487813
22,Aberdeen,46.9753710001663,-123.815722
23,Aberdeen,57.14824290033351,-2.0928095
24,Abidjan,5.32035699948468,-4.016107
25,Abiko,35.863998999722284,140.0280653
26,Abilene,32.446449999595075,-99.74759049999999
27,Abobo,5.435486999477248,-4.029007
28,Abohar,30.14505429972698,74.19565969999998
29,Abomey,7.182001199400681,1.9936320000000003
30,Abomey-Calavi,6.453863699423946,2.354245
31,Abong-Mbang,3.989629299588378,13.1738695
32,Aboudéïa,11.450623499533068,19.277614399999997
33,Abrantes,39.46319050019256,-8.197361799999998
34,Abreu e Lima,-7.900718999754812,-34.898389
35,Abri,20.793038400399997,30.3406751
36,Abu Delelq,15.899020600012836,33.8087818
37,Abu Gharaq,32.52710699959334,44.343966
38,Abu Hamad,19.537892800348683,33.32484709999999
39,Abuja,9.064330499403003,7.489297399999998
40,Abu Jibeha,11.464672099534207,31.233983799999997
41,Abu Kabir,30.725169999680407,31.6708449
42,Abu Kamal,34.450511199619825,40.9170588
43,Abu Simbel City,22.356780943939807,31.615640129668783
44,Abu Zenima,29.05116299983209,33.104062
45,Açailândia,-4.9514277996827945,-47.48445639999999
46,Acajutla,13.589796699743532,-89.82976009999999
47,Acapulco,16.86804950012135,-99.89401819999999
48,Acarigua,9.550796099418466,-69.20328229999998
49,Accra,5.557109599469691,-0.20123759999999996
50,Achaguas,7.788824799391427,-68.2203481
51,Achalpur,21.254670000408066,77.50864279999999
52,Acheng,45.53624990040823,126.9694447
53,Achinsk,56.25989244127229,90.47075918410819
54,Achinsk,56.26948459990642,90.4953964
55,Achocalla,-16.56809950045851,-68.1710147
56,A Coruña,43.371209100541876,-8.3958768
57,Acre,32.928173099588015,35.075637799999996
58,Acre,32.924004720579816,35.08397706281312
59,Adachi,35.78370299971472,139.795319
60,Adama,8.541026099393141,39.2705461
61,`Adan,12.78958499965725,45.028504
62,Adana,36.986359899846605,35.3252861
63,Ad Da'ein,11.461173099533921,26.1310939
64,Ad Dali,12.866115999665176,33.4133374
65,Ad-Damazin,11.807363599563168,34.365629799999994
66,Addé,12.659087299643907,21.8944538
67,Addis Ababa,9.010793399401669,38.76125249999999
68,Ad Diwaniyah,31.985330399609143,44.9236266
69,Adelaide,-34.92818049987367,138.5999312
70,Adilabad,19.675945200356345,78.53398949999999
71,Adiyaman,37.76395319994907,38.27685919999999
72,Adjamé,5.3531210994825384,-4.022200800000001
73,Ado Ekiti,7.623248199393015,5.22274
74,Adoni,15.625331299980976,77.27308939999999
75,Adré,13.466456299729796,22.1977187
76,Afgooye,2.146028699771144,45.119037899999995
77,Aflou,34.11251999960555,2.1002899999999998
78,Afosu,6.373437243168862,-0.9975837552998745
79,Afrin,36.50837949978969,36.87008899999999
80,Afula,32.61044895761183,35.28922621078677
81,Afula,32.607558699591834,35.2890861
82,Afyonkarahisar,38.75685090009063,30.538694399999994
83,Agadez,16.972556000132506,7.990739
84,Agadi,11.805638899563013,34.07542459999999
85,Agadir,30.421114399703896,-9.5830626
86,Agano,37.83436179995882,139.22585389999998
87,Agar,23.71295258890268,76.01837488434977
88,Agartala,23.831237700343255,91.2823821
89,Agboville,5.93128299944842,-4.2106525
90,Ageo,35.97740819973329,139.59305039999998
91,Agra,27.17525540003847,78.00981609999998
92,Agrigento,37.31229909988826,13.574649999999998
93,Agrinio,38.6248275000715,21.409420599999997
94,Ağrı,39.71912500022864,43.0504894
95,Agua Prieta,31.317966399641293,-109.54255089999998
96,Aguascalientes,21.880655300409348,-102.2961323
97,Águas Claras,-15.841993300429365,-48.0281208
98,Águas Lindas de Goiás,-15.739228300424179,-48.2793357
99,Águeda,40.57850060034247,-8.4438017
100,Aguié,13.500961699733622,7.7759347
101,Ahmadnagar,19.092952000320853,74.7493451
102,Ahmedabad,23.021623800383193,72.57970679999998
103,Ahtaung,17.3490582001715,95.33439459999998
104,Ahuachapan,13.923419199781334,-89.8462907
105,Ahwaz,31.322993599641006,48.6793316
106,Aiea,21.382222200409227,-157.9336111
107,Ain Beida,35.795283899715805,7.389434600000001
108,Aino Maina,31.64998659236659,65.78470608006826
109,Ain Oussara,35.44925819968538,2.9071064999999994
110,Aioi,34.80974559963944,134.4719626
111,Aira,31.728281599619944,130.6276569
112,Airdrie,51.285969999203,-114.01062
113,Aisai,35.1422049996616,136.727208
114,Aix-en-Provence,43.52984240054177,5.447473799999999
115,Aizawl,23.74352360034839,92.7382905
116,Aizuwakamatsu,37.48042999991053,139.942135
117,Ajaccio,41.92639910048066,8.737602899999999
118,Ajax,43.85052870053699,-79.0208814
119,Ajdabiya,30.75500349967822,20.223325699999997
120,Ajmer,26.46910000011549,74.639
121,Ajmer,26.455912615219773,74.63724623095348
122,Akabira,43.55785050054158,142.0440317
123,Akaiwa,34.755341199636185,134.0188207
124,Akashi,34.68326349963203,134.9476925
125,Akbarpur,26.420068700120694,82.5382541
126,Akdepe,42.05474880049024,59.37938819999999
127,Aki,33.501909499590205,133.90721269999997
128,Akiruno,35.73104199970988,139.217028
129,Akishima,35.702479999707286,139.350065
130,Akita,39.719762900228744,140.10346689999997
131,Akitakata,34.70295999963313,132.6775
132,Ako,34.78975549963824,134.3773595
133,Akobo,7.792823799391397,33.0031368
134,Akola,20.711660400397953,77.002632
135,Akonolinga,3.773389999607916,12.244917
136,Akqi,40.93560470038489,78.43511260000001
137,Akron,41.083064000401336,-81.518485
138,Aksaray,38.37054160003477,34.026907
139,Aksay,39.632912800216566,94.33894479999998
140,Aksu,52.03542439911451,76.9341133
141,Aksu,41.18436870041223,80.28733559999999
142,Aksu,52.068396314015985,76.90141913730166
143,Aksu,52.03542439911451,76.9341133
144,Aktau,43.66671151845795,51.18900529239817
145,Aktau,43.652058000540656,51.157997
146,Akto,39.145288400146924,75.94462469999999
147,Aktobe,50.28515107773342,57.220387959206995
148,Aktobe,50.279644799390375,57.21246060000001
149,Akune,32.01431389960806,130.19274149999998
150,Akure,7.252559499399124,5.1932647
151,Al Abyar,32.189645299602056,20.5945086
152,Alafaya,28.53372979988729,-81.2035518
153,Alagoinhas,-12.133526000125707,-38.42077199999999
154,Alajuela,10.016516199438817,-84.21382339999998
155,Alajuela,10.017314799438855,-84.2132869
156,Al Ajyaylat,32.7577580995896,12.3773801
157,Alaminos,16.155385700042302,119.9792201
158,Alamogordo,32.90464739958817,-105.941835
159,Alamosa,37.469876999909104,-105.8696
160,Al Arish,31.127250899652868,33.8045859
161,Alashankou,45.17244440045088,82.5532972
162,Al Aziziya,32.53309229959323,13.017624199999998
163,Albacete,38.995092100125206,-1.8559154
164,Alba Iulia,46.073406014729066,23.574650846956608
165,Alba Iulia,46.068738500331726,23.5704398
166,Albany,44.636507100498854,-123.10593240000001
167,Albany,31.57820619962718,-84.1556809
168,Albany,-35.02478219989419,117.88360799999998
169,Albany,42.651167400524706,-73.754968
170,Albergaria-a-Velha,40.69068880035616,-8.4792205
171,Albuquerque,35.084103399657465,-106.650985
172,Albury,-36.08047660013087,146.91627949999997
173,Alcalá de Henares,40.48183960033042,-3.3644972999999996
174,Alchevsk,48.47977217458276,38.79336569638624
175,Alchevsk,48.46966619982364,38.7993994
176,Alcoa,35.789527099715265,-83.9737935
177,Alcobaça,39.55191990020515,-8.9763396
178,Alcobendas,40.54000820033769,-3.6358493999999997
179,Alcorcón,40.34929980031353,-3.8284295
180,Al Dabbah,18.043988000237867,30.95119
181,Aleg,17.05271770014096,-13.915294899999997
182,Aleppo,36.199239999755925,37.16372530000001
183,Alessandria,44.91290690047634,8.615389899999998
184,Ålesund,62.471139701338075,6.1551776
185,Alexandria,31.311247999641694,-92.44490869999998
186,Alexandria,43.970223600533636,25.3288462
187,Alexandria,38.80510950009764,-77.0470229
188,Alexandria,31.19900399964839,29.894377999999993
189,Alexandria,43.96876047706892,25.331365424376834
190,Alexandroupoli,40.84569200037454,25.8753275
191,Aley,33.80826969959622,35.6061181
192,Al Fao,14.107553199802531,34.091812999999995
193,Al-Fashir,13.623824399747349,25.3555559
194,Al-Fula,11.710485199554757,28.3448982
195,Algeciras,36.13117249974882,-5.4473991
196,Al Ghaydah,16.211017300048635,52.1828352
197,Alghero,40.56002050034019,8.3151473
198,Algiers,36.77536059982082,3.0601881999999994
199,Al Goled,18.50464990027711,30.6330833
200,Al-Hasakah,36.5013737997889,40.746994799999996
201,Al Hillah,32.482244999594286,44.43281309999999
202,Al Hoceima,35.245113999669236,-3.9301860000000004
203,Alicante,38.3436365000309,-0.48817080000000007
